Team,Probability,TIMES RAN,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10
76ers,0.661%,1000,Joel Embiid:41.4 PPG,Tyrese Maxey:30.173 PPG,James Harden:29.973 PPG,Tobias Harris:21.938 PPG,De'Anthony Melton:13.705 PPG,Georges Niang:8.368 PPG,Shake Milton:7.977 PPG,Jalen McDaniels:5.417 PPG,P.J. Tucker:4.394 PPG,Danuel House Jr.:3.284 PPG
Hawks,0.339%,1000,Dejounte Murray:29.904 PPG,Trae Young:29.145 PPG,De'Andre Hunter:18.62 PPG,Bogdan Bogdanović:16.296 PPG,John Collins:15.574 PPG,Saddiq Bey:13.293 PPG,Clint Capela:12.834 PPG,Onyeka Okongwu:9.251 PPG,AJ Griffin:7.526 PPG,Jalen Johnson:3.68 PPG
