Team,Probability,TIMES RAN,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10
Celtics,0.759%,1000,Jayson Tatum:45.872 PPG,Jaylen Brown:42.286 PPG,Marcus Smart:18.123 PPG,Al Horford:14.9 PPG,Malcolm Brogdon:14.006 PPG,Derrick White:11.448 PPG,Grant Williams:11.265 PPG,Robert Williams:7.396 PPG,Sam Hauser:5.129 PPG,Blake Griffin:3.878 PPG
Clippers,0.24%,1000,Paul George:32.874 PPG,Kawhi Leonard:20.317 PPG,Norman Powell:17.859 PPG,Marcus Morris:17.438 PPG,Reggie Jackson:15.908 PPG,John Wall:12.842 PPG,Ivica Zubac:11.216 PPG,Luke Kennard:10.809 PPG,Terance Mann:8.678 PPG,Nicolas Batum:7.63 PPG
