Team,Probability,TIMES RAN,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10
Suns,0.631%,1000,Devin Booker:39.821 PPG,Mikal Bridges:25.927 PPG,Deandre Ayton:23.644 PPG,Chris Paul:16.777 PPG,Cameron Johnson:15.969 PPG,Cameron Payne:14.672 PPG,Torrey Craig:10.736 PPG,Damion Lee:8.614 PPG,Landry Shamet:8.401 PPG,Ish Wainright:2.789 PPG
Knicks,0.369%,1000,Julius Randle:35.812 PPG,RJ Barrett:29.853 PPG,Jalen Brunson:29.094 PPG,Quentin Grimes:13.357 PPG,Immanuel Quickley:13.03 PPG,Mitchell Robinson:9.238 PPG,Cam Reddish:8.67 PPG,Obi Toppin:7.117 PPG,Evan Fournier:7.036 PPG,Isaiah Hartenstein:5.591 PPG
