Team,Probability,TIMES RAN,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10
Grizzlies,0.593%,1000,Ja Morant:35.787 PPG,Desmond Bane:30.775 PPG,Dillon Brooks:21.196 PPG,Jaren Jackson Jr.:20.833 PPG,Steven Adams:11.23 PPG,Tyus Jones:10.928 PPG,Santi Aldama:9.82 PPG,Brandon Clarke:8.981 PPG,Luke Kennard:8.859 PPG,John Konchar:6.62 PPG
Spurs,0.407%,1000,Keldon Johnson:31.675 PPG,Devin Vassell:28.021 PPG,Devonte' Graham:19.507 PPG,Tre Jones:16.61 PPG,Jeremy Sochan:13.658 PPG,Zach Collins:11.604 PPG,Doug McDermott:10.988 PPG,Malaki Branham:10.879 PPG,Keita Bates-Diop:8.674 PPG,Romeo Langford:7.459 PPG
