Team,Probability,TIMES RAN,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10
Thunder,0.263%,1000,Shai Gilgeous-Alexander:44.95 PPG,Josh Giddey:23.541 PPG,Luguentz Dort:20.611 PPG,Jalen Williams:13.652 PPG,Tre Mann:11.461 PPG,Aleksej Pokusevski:11.068 PPG,Jeremiah Robinson-Earl:9.891 PPG,Aaron Wiggins:5.793 PPG,Darius Bazley:4.484 PPG,Ousmane Dieng:3.996 PPG
Cavaliers,0.734%,1000,Darius Garland:47.837 PPG,Evan Mobley:31.42 PPG,Jarrett Allen:26.782 PPG,Caris LeVert:22.361 PPG,Cedi Osman:14.831 PPG,Lamar Stevens:9.697 PPG,Isaac Okoro:4.905 PPG,Robin Lopez:2.548 PPG,Raul Neto:1.968 PPG,Mamadi Diakite:1.684 PPG
