Team,Probability,TIMES RAN,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10
76ers,0.589%,1000,Joel Embiid:38.225 PPG,Tyrese Maxey:28.797 PPG,James Harden:27.944 PPG,Tobias Harris:23.357 PPG,De'Anthony Melton:14.48 PPG,Shake Milton:10.284 PPG,Georges Niang:8.963 PPG,P.J. Tucker:3.843 PPG,Danuel House Jr.:3.297 PPG,Montrezl Harrell:3.28 PPG
Lakers,0.41%,1000,LeBron James:39.208 PPG,Anthony Davis:30.038 PPG,Russell Westbrook:16.538 PPG,Lonnie Walker IV:16.345 PPG,Dennis Schröder:12.653 PPG,Thomas Bryant:11.772 PPG,Austin Reaves:11.079 PPG,Troy Brown Jr.:7.138 PPG,Patrick Beverley:6.627 PPG,Wenyen Gabriel:4.647 PPG
