Team,Probability,TIMES RAN,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10
Mavericks,0.692%,1000,Luka Dončić:51.582 PPG,Spencer Dinwiddie:26.638 PPG,Christian Wood:23.966 PPG,Tim Hardaway Jr.:20.163 PPG,Dorian Finney-Smith:14.207 PPG,Reggie Bullock:9.539 PPG,Maxi Kleber:8.3 PPG,Josh Green:7.484 PPG,Kemba Walker:5.82 PPG,Dwight Powell:4.778 PPG
Suns,0.306%,1000,Devin Booker:35.73 PPG,Mikal Bridges:23.467 PPG,Deandre Ayton:22.487 PPG,Chris Paul:16.599 PPG,Cameron Johnson:14.122 PPG,Cameron Payne:13.012 PPG,Torrey Craig:9.85 PPG,Damion Lee:8.992 PPG,Landry Shamet:8.653 PPG,Saben Lee:6.501 PPG
