Team,Probability,TIMES RAN,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10
Hornets,0.6%,1000,LaMelo Ball:34.833 PPG,Terry Rozier:32.608 PPG,Kelly Oubre Jr.:26.831 PPG,P.J. Washington:21.568 PPG,Gordon Hayward:19.148 PPG,Dennis Smith Jr.:8.723 PPG,Mark Williams:6.882 PPG,Nick Richards:5.718 PPG,Cody Martin:4.749 PPG,Bryce McGowens:2.452 PPG
Pistons,0.399%,1000,Cade Cunningham:28.167 PPG,Bojan Bogdanović:26.508 PPG,Jaden Ivey:17.777 PPG,James Wiseman:15.776 PPG,Marvin Bagley III:13.808 PPG,Alec Burks:13.452 PPG,Isaiah Stewart:12.623 PPG,Killian Hayes:11.62 PPG,Jalen Duren:10.632 PPG,Isaiah Livers:7.272 PPG
