Team,Probability,TIMES RAN,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10
76ers,0.703%,1000,Joel Embiid:37.146 PPG,Tyrese Maxey:34.374 PPG,James Harden:29.068 PPG,Tobias Harris:23.063 PPG,De'Anthony Melton:14.188 PPG,Georges Niang:9.769 PPG,Shake Milton:9.001 PPG,P.J. Tucker:5.13 PPG,Danuel House Jr.:3.261 PPG,Montrezl Harrell:2.438 PPG
Magic,0.297%,1000,Paolo Banchero:24.658 PPG,Franz Wagner:22.628 PPG,Wendell Carter Jr.:18.308 PPG,Cole Anthony:17.506 PPG,Bol Bol:16.787 PPG,Jalen Suggs:14.316 PPG,Gary Harris:13.03 PPG,Terrence Ross:11.818 PPG,Mo Bamba:8.678 PPG,Chuma Okeke:5.897 PPG
