Team,Probability,TIMES RAN,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10
Wizards,0.182%,1000,Bradley Beal:33.973 PPG,Kyle Kuzma:28.417 PPG,Kristaps Porziņģis:24.592 PPG,Rui Hachimura:13.293 PPG,Corey Kispert:11.041 PPG,Monte Morris:10.849 PPG,Will Barton:8.597 PPG,Deni Avdija:7.95 PPG,Jordan Goodwin:6.843 PPG,Delon Wright:6.773 PPG
Celtics,0.818%,1000,Jayson Tatum:48.043 PPG,Jaylen Brown:41.841 PPG,Al Horford:18.663 PPG,Marcus Smart:16.113 PPG,Malcolm Brogdon:14.493 PPG,Derrick White:13.56 PPG,Grant Williams:12.864 PPG,Sam Hauser:7.098 PPG,Luke Kornet:2.546 PPG,Blake Griffin:1.937 PPG
