Team,Probability,TIMES RAN,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10
Cavaliers,0.516%,1000,Donovan Mitchell:42.652 PPG,Darius Garland:32.187 PPG,Evan Mobley:23.447 PPG,Jarrett Allen:21.01 PPG,Caris LeVert:15.259 PPG,Cedi Osman:8.878 PPG,Isaac Okoro:6.187 PPG,Dean Wade:5.357 PPG,Lamar Stevens:4.531 PPG,Ricky Rubio:4.018 PPG
Celtics,0.484%,1000,Jayson Tatum:39.049 PPG,Jaylen Brown:36.077 PPG,Malcolm Brogdon:14.878 PPG,Marcus Smart:14.769 PPG,Derrick White:13.161 PPG,Al Horford:13.159 PPG,Robert Williams:9.974 PPG,Grant Williams:9.231 PPG,Mike Muscala:8.137 PPG,Sam Hauser:4.952 PPG
