Team,Probability,TIMES RAN,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10
Timberwolves,0.608%,1000,Anthony Edwards:34.448 PPG,Karl-Anthony Towns:25.887 PPG,D'Angelo Russell:21.314 PPG,Jaylen Nowell:15.836 PPG,Rudy Gobert:14.732 PPG,Jaden McDaniels:14.243 PPG,Naz Reid:13.115 PPG,Taurean Prince:10.008 PPG,Kyle Anderson:9.116 PPG,Austin Rivers:6.478 PPG
Clippers,0.392%,1000,Paul George:31.064 PPG,Norman Powell:20.728 PPG,Kawhi Leonard:19.131 PPG,Marcus Morris:15.964 PPG,John Wall:14.964 PPG,Reggie Jackson:14.014 PPG,Luke Kennard:13.045 PPG,Ivica Zubac:10.576 PPG,Terance Mann:10.456 PPG,Nicolas Batum:8.993 PPG
