Team,Probability,TIMES RAN,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10
Hawks,0.488%,1000,Trae Young:32.691 PPG,Dejounte Murray:31.786 PPG,Bogdan Bogdanović:20.245 PPG,De'Andre Hunter:18.725 PPG,John Collins:15.917 PPG,Clint Capela:13.52 PPG,AJ Griffin:9.554 PPG,Onyeka Okongwu:8.874 PPG,Justin Holiday:3.359 PPG,Aaron Holiday:3.183 PPG
Thunder,0.511%,1000,Shai Gilgeous-Alexander:45.439 PPG,Josh Giddey:27.348 PPG,Luguentz Dort:20.644 PPG,Jalen Williams:16.424 PPG,Aleksej Pokusevski:10.269 PPG,Jeremiah Robinson-Earl:9.594 PPG,Kenrich Williams:9.441 PPG,Tre Mann:8.538 PPG,Aaron Wiggins:5.826 PPG,Darius Bazley:4.367 PPG
