Team,Probability,TIMES RAN,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10
Magic,0.496%,1000,Franz Wagner:27.748 PPG,Paolo Banchero:27.44 PPG,Wendell Carter Jr.:21.238 PPG,Markelle Fultz:19.672 PPG,Cole Anthony:13.909 PPG,Jalen Suggs:11.497 PPG,Gary Harris:11.337 PPG,Bol Bol:10.784 PPG,Moritz Wagner:10.366 PPG,Chuma Okeke:4.615 PPG
Lakers,0.504%,1000,LeBron James:36.928 PPG,Anthony Davis:26.963 PPG,Lonnie Walker IV:15.082 PPG,Malik Beasley:14.81 PPG,D'Angelo Russell:14.794 PPG,Dennis Schröder:11.452 PPG,Rui Hachimura:10.312 PPG,Austin Reaves:9.817 PPG,Troy Brown Jr.:9.101 PPG,Jarred Vanderbilt:8.948 PPG
