Team,Probability,TIMES RAN,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10
Timberwolves,0.639%,1000,Anthony Edwards:36.314 PPG,Karl-Anthony Towns:26.433 PPG,Jaden McDaniels:15.207 PPG,Rudy Gobert:14.934 PPG,Jaylen Nowell:14.483 PPG,Naz Reid:13.564 PPG,Kyle Anderson:12.253 PPG,Taurean Prince:12.182 PPG,Mike Conley:11.076 PPG,Austin Rivers:7.219 PPG
Lakers,0.36%,1000,LeBron James:34.294 PPG,Anthony Davis:25.834 PPG,Lonnie Walker IV:16.664 PPG,D'Angelo Russell:16.604 PPG,Malik Beasley:13.605 PPG,Rui Hachimura:11.908 PPG,Dennis Schröder:10.39 PPG,Troy Brown Jr.:9.534 PPG,Austin Reaves:8.633 PPG,Jarred Vanderbilt:8.548 PPG
