Team,Probability,TIMES RAN,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10
Trailblazers,0.508%,1000,Damian Lillard:44.535 PPG,Anfernee Simons:38.65 PPG,Jerami Grant:23.9 PPG,Jusuf Nurkić:17.673 PPG,Josh Hart:14.346 PPG,Shaedon Sharpe:8.104 PPG,Justise Winslow:7.13 PPG,Keon Johnson:4.493 PPG,Nassir Little:4.283 PPG,Drew Eubanks:2.6 PPG
Suns,0.477%,1000,Devin Booker:48.07 PPG,Mikal Bridges:28.582 PPG,Cameron Johnson:21.483 PPG,Deandre Ayton:20.439 PPG,Chris Paul:15.265 PPG,Cameron Payne:8.655 PPG,Jock Landale:8.626 PPG,Landry Shamet:5.559 PPG,Bismack Biyombo:4.154 PPG,Damion Lee:4.01 PPG
