Team,Probability,TIMES RAN,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10
Bucks,0.53%,1000,Giannis Antetokounmpo:47.304 PPG,Jrue Holiday:34.031 PPG,Brook Lopez:23.703 PPG,Bobby Portis:18.69 PPG,Grayson Allen:12.286 PPG,Jevon Carter:7.776 PPG,Jordan Nwora:5.437 PPG,George Hill:5.215 PPG,Wesley Matthews:3.099 PPG,MarJon Beauchamp:2.792 PPG
Hawks,0.47%,1000,Dejounte Murray:39.393 PPG,Trae Young:38.626 PPG,De'Andre Hunter:23.294 PPG,John Collins:19.556 PPG,Clint Capela:12.778 PPG,Onyeka Okongwu:8.012 PPG,Justin Holiday:6.275 PPG,Aaron Holiday:5.473 PPG,Jalen Johnson:3.391 PPG,AJ Griffin:2.561 PPG
