Team,Probability,TIMES RAN,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10
Trailblazers,0.461%,1000,Damian Lillard:36.715 PPG,Anfernee Simons:34.926 PPG,Jerami Grant:31.502 PPG,Jusuf Nurkić:16.184 PPG,Josh Hart:14.172 PPG,Justise Winslow:7.904 PPG,Shaedon Sharpe:7.304 PPG,Drew Eubanks:5.122 PPG,Nassir Little:4.197 PPG,Trendon Watford:3.841 PPG
Nuggets,0.538%,1000,Nikola Jokić:35.499 PPG,Jamal Murray:24.318 PPG,Michael Porter Jr.:23.349 PPG,Aaron Gordon:22.108 PPG,Kentavious Caldwell-Pope:16.381 PPG,Bruce Brown:15.869 PPG,Bones Hyland:13.944 PPG,Jeff Green:6.667 PPG,DeAndre Jordan:3.328 PPG,Christian Braun:2.801 PPG
