Team,Probability,TIMES RAN,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10
Hornets,0.349%,1000,Terry Rozier:31.167 PPG,Kelly Oubre Jr.:22.348 PPG,P.J. Washington:21.519 PPG,Gordon Hayward:19.825 PPG,Dennis Smith Jr.:16.655 PPG,Jalen McDaniels:12.185 PPG,Nick Richards:8.186 PPG,Mason Plumlee:7.228 PPG,James Bouknight:5.044 PPG,Théo Maledon:3.139 PPG
Grizzlies,0.635%,1000,Ja Morant:38.548 PPG,Desmond Bane:35.166 PPG,Dillon Brooks:18.804 PPG,Tyus Jones:15.28 PPG,Santi Aldama:12.709 PPG,John Konchar:10.596 PPG,Steven Adams:7.57 PPG,Brandon Clarke:6.538 PPG,Jake LaRavia:6.454 PPG,David Roddy:5.33 PPG
