Team,Probability,TIMES RAN,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10
Trailblazers,0.427%,1000,Damian Lillard:39.256 PPG,Anfernee Simons:30.153 PPG,Jerami Grant:25.87 PPG,Cam Reddish:17.309 PPG,Jusuf Nurkić:13.849 PPG,Matisse Thybulle:10.396 PPG,Justise Winslow:7.79 PPG,Shaedon Sharpe:7.701 PPG,Drew Eubanks:5.267 PPG,Trendon Watford:4.983 PPG
76ers,0.573%,1000,Joel Embiid:41.796 PPG,James Harden:31.193 PPG,Tyrese Maxey:29.238 PPG,Tobias Harris:22.82 PPG,De'Anthony Melton:13.649 PPG,Georges Niang:8.513 PPG,Shake Milton:8.265 PPG,P.J. Tucker:4.36 PPG,Jalen McDaniels:4.24 PPG,Danuel House Jr.:3.071 PPG
