Team,Probability,TIMES RAN,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10
Mavericks,0.703%,1000,Luka Dončić:47.109 PPG,Kyrie Irving:43.001 PPG,Tim Hardaway Jr.:19.219 PPG,Christian Wood:17.88 PPG,Reggie Bullock:11.048 PPG,Josh Green:10.703 PPG,Maxi Kleber:6.815 PPG,Jaden Hardy:5.535 PPG,Dwight Powell:5.36 PPG,Justin Holiday:2.923 PPG
Hawks,0.297%,1000,Trae Young:29.953 PPG,Dejounte Murray:29.852 PPG,De'Andre Hunter:18.285 PPG,Bogdan Bogdanović:16.088 PPG,John Collins:15.367 PPG,Clint Capela:13.762 PPG,Saddiq Bey:11.935 PPG,Onyeka Okongwu:8.968 PPG,AJ Griffin:7.513 PPG,Jalen Johnson:3.294 PPG
