Team,Probability,TIMES RAN,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10
Lakers,0.325%,1000,LeBron James:34.979 PPG,Anthony Davis:26.478 PPG,Lonnie Walker IV:14.836 PPG,D'Angelo Russell:14.569 PPG,Malik Beasley:14.048 PPG,Dennis Schröder:11.179 PPG,Rui Hachimura:9.98 PPG,Austin Reaves:8.956 PPG,Troy Brown Jr.:8.67 PPG,Jarred Vanderbilt:8.448 PPG
Bulls,0.674%,1000,Zach LaVine:39.354 PPG,DeMar DeRozan:37.049 PPG,Nikola Vučević:29.061 PPG,Patrick Williams:14.579 PPG,Ayo Dosunmu:13.108 PPG,Coby White:10.821 PPG,Alex Caruso:6.48 PPG,Patrick Beverley:6.024 PPG,Javonte Green:4.859 PPG,Derrick Jones Jr.:3.558 PPG
