Team,Probability,TIMES RAN,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10
Wizards,0.563%,1000,Kyle Kuzma:35.581 PPG,Bradley Beal:34.392 PPG,Kristaps Porziņģis:29.894 PPG,Monte Morris:13.585 PPG,Corey Kispert:11.906 PPG,Deni Avdija:10.575 PPG,Delon Wright:7.775 PPG,Daniel Gafford:7.492 PPG,Kendrick Nunn:6.647 PPG,Jordan Goodwin:5.407 PPG
Hawks,0.437%,1000,Dejounte Murray:30.773 PPG,Trae Young:30.269 PPG,De'Andre Hunter:18.495 PPG,Bogdan Bogdanović:18.228 PPG,John Collins:15.589 PPG,Clint Capela:13.704 PPG,Saddiq Bey:11.461 PPG,Onyeka Okongwu:8.873 PPG,AJ Griffin:8.364 PPG,Aaron Holiday:2.764 PPG
