Team,Probability,TIMES RAN,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10
Trailblazers,0.511%,1000,Damian Lillard:38.558 PPG,Anfernee Simons:36.138 PPG,Jerami Grant:32.766 PPG,Jusuf Nurkić:17.244 PPG,Josh Hart:13.987 PPG,Justise Winslow:8.161 PPG,Shaedon Sharpe:7.627 PPG,Drew Eubanks:5.109 PPG,Nassir Little:4.279 PPG,Trendon Watford:4.078 PPG
Warriors,0.489%,1000,Stephen Curry:42.377 PPG,Andrew Wiggins:29.448 PPG,Klay Thompson:28.536 PPG,Jordan Poole:23.596 PPG,Draymond Green:11.141 PPG,Donte DiVincenzo:7.624 PPG,Kevon Looney:6.892 PPG,Jonathan Kuminga:6.403 PPG,Ty Jerome:6.154 PPG,Anthony Lamb:5.569 PPG
