Team,Probability,TIMES RAN,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10
76ers,0.536%,1000,Joel Embiid:39.354 PPG,Tyrese Maxey:28.837 PPG,James Harden:28.437 PPG,Tobias Harris:24.059 PPG,De'Anthony Melton:14.586 PPG,Shake Milton:10.23 PPG,Georges Niang:9.392 PPG,P.J. Tucker:3.863 PPG,Danuel House Jr.:3.524 PPG,Montrezl Harrell:3.354 PPG
Jazz,0.462%,1000,Lauri Markkanen:37.959 PPG,Jordan Clarkson:33.337 PPG,Malik Beasley:19.327 PPG,Collin Sexton:15.332 PPG,Kelly Olynyk:14.926 PPG,Mike Conley:13.979 PPG,Jarred Vanderbilt:9.958 PPG,Walker Kessler:7.354 PPG,Nickeil Alexander-Walker:5.637 PPG,Talen Horton-Tucker:5.087 PPG
