Team,Probability,TIMES RAN,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10
Kings,0.589%,1000,De'Aaron Fox:39.043 PPG,Domantas Sabonis:29.124 PPG,Kevin Huerter:23.169 PPG,Harrison Barnes:19.972 PPG,Keegan Murray:17.496 PPG,Malik Monk:15.425 PPG,Trey Lyles:6.741 PPG,Davion Mitchell:5.919 PPG,Terence Davis:4.792 PPG,Kessler Edwards:1.965 PPG
Bulls,0.411%,1000,Zach LaVine:37.293 PPG,DeMar DeRozan:35.443 PPG,Nikola Vučević:27.944 PPG,Patrick Williams:13.745 PPG,Ayo Dosunmu:11.734 PPG,Coby White:10.202 PPG,Patrick Beverley:7.594 PPG,Alex Caruso:6.277 PPG,Javonte Green:4.497 PPG,Derrick Jones Jr.:3.235 PPG
